Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR11364648,RNA-Seq,51,1685592279,PRJNA613909,SAMN14421569,558724224,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Control,SRX7966037,GSM4426266,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426266,Whole blood RNA,SRP253611,Whole blood
SRR11364649,RNA-Seq,51,1680566841,PRJNA613909,SAMN14421568,557611809,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Psoriasis,SRX7966038,GSM4426267,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426267,Whole blood RNA,SRP253611,Whole blood
SRR11364650,RNA-Seq,51,1658332065,PRJNA613909,SAMN14421567,551027247,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Control,SRX7966039,GSM4426268,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426268,Whole blood RNA,SRP253611,Whole blood
SRR11364651,RNA-Seq,51,1718193927,PRJNA613909,SAMN14421566,572385447,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Control,SRX7966040,GSM4426269,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426269,Whole blood RNA,SRP253611,Whole blood
SRR11364652,RNA-Seq,51,1800856410,PRJNA613909,SAMN14421565,604671184,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Psoriasis,SRX7966041,GSM4426270,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426270,Whole blood RNA,SRP253611,Whole blood
SRR11364653,RNA-Seq,51,1867952928,PRJNA613909,SAMN14421564,621539332,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Control,SRX7966042,GSM4426271,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426271,Whole blood RNA,SRP253611,Whole blood
SRR11364654,RNA-Seq,51,1752688593,PRJNA613909,SAMN14421563,594180137,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Psoriasis,SRX7966043,GSM4426272,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426272,Whole blood RNA,SRP253611,Whole blood
SRR11364655,RNA-Seq,51,1754164788,PRJNA613909,SAMN14421562,590224206,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Psoriasis,SRX7966044,GSM4426273,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426273,Whole blood RNA,SRP253611,Whole blood
SRR11364656,RNA-Seq,51,1953536028,PRJNA613909,SAMN14421561,653587784,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Psoriasis,SRX7966045,GSM4426274,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426274,Whole blood RNA,SRP253611,Whole blood
SRR11364657,RNA-Seq,51,1878941286,PRJNA613909,SAMN14421560,628295598,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Psoriasis,SRX7966046,GSM4426275,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426275,Whole blood RNA,SRP253611,Whole blood
SRR11364658,RNA-Seq,51,1655186844,PRJNA613909,SAMN14421559,551936403,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Psoriasis,SRX7966047,GSM4426276,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426276,Whole blood RNA,SRP253611,Whole blood
SRR11364659,RNA-Seq,51,1705631352,PRJNA613909,SAMN14421558,571359836,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Psoriasis,SRX7966048,GSM4426277,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426277,Whole blood RNA,SRP253611,Whole blood
SRR11364660,RNA-Seq,51,1824214869,PRJNA613909,SAMN14421557,608993352,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Control,SRX7966049,GSM4426278,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426278,Whole blood RNA,SRP253611,Whole blood
SRR11364661,RNA-Seq,51,1805776329,PRJNA613909,SAMN14421556,615851483,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Psoriasis,SRX7966050,GSM4426279,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426279,Whole blood RNA,SRP253611,Whole blood
SRR11364662,RNA-Seq,51,1824736038,PRJNA613909,SAMN14421555,611092906,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Control,SRX7966051,GSM4426280,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426280,Whole blood RNA,SRP253611,Whole blood
SRR11364663,RNA-Seq,51,1790137332,PRJNA613909,SAMN14421554,599334206,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX7966052,GSM4426281,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426281,Whole blood RNA,SRP253611,Whole blood
SRR11364664,RNA-Seq,51,1524682638,PRJNA613909,SAMN14421553,510110307,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Control,SRX7966053,GSM4426282,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM4426282,Whole blood RNA,SRP253611,Whole blood
